AL AK AZ AR CA CO CT DE FL GA HI ID IL IN IA KS KY LA ME MD MA MI MN MS MO MT NE NV NH NJ NM NY NC ND OH OK OR PA RI SC SD TN TX UT VT VA WA WV WI WY DC 
"3,058,000" "135,000" "756,000" "1,908,000" "10,677,000" "1,325,000" "2,016,000" "321,000" "2,810,000" "3,458,000" "498,000" "590,000" "8,738,000" "3,967,000" "2,625,000" "1,916,000" "2,936,000" "2,697,000" "917,000" "2,355,000" "4,686,000" "6,407,000" "2,997,000" "2,176,000" "3,964,000" "593,000" "1,327,000" "162,000" "532,000" "4,872,000" "689,000" "14,865,000" "4,068,000" "619,000" "7,980,000" "2,229,000" "1,532,000" "10,507,000" "786,000" "2,113,000" "655,000" "3,315,000" "7,776,000" "696,000" "379,000" "3,315,000" "2,387,000" "2,006,000" "3,438,000" "290,000" "806,000"  
"3,059,000" "158,000" "785,000" "1,901,000" "11,134,000" "1,326,000" "2,028,000" "331,000" "2,980,000" "3,531,000" "514,000" "589,000" "8,790,000" "4,096,000" "2,617,000" "1,950,000" "2,941,000" "2,769,000" "916,000" "2,441,000" "4,654,000" "6,497,000" "3,010,000" "2,163,000" "4,015,000" "596,000" "1,316,000" "168,000" "529,000" "5,006,000" "717,000" "14,890,000" "4,120,000" "604,000" "8,061,000" "2,210,000" "1,556,000" "10,461,000" "784,000" "2,167,000" "655,000" "3,372,000" "8,111,000" "706,000" "378,000" "3,434,000" "2,424,000" "1,984,000" "3,439,000" "291,000" "808,000"  
"3,068,000" "189,000" "842,000" "1,838,000" "11,635,000" "1,365,000" "2,081,000" "341,000" "3,157,000" "3,584,000" "517,000" "587,000" "8,956,000" "4,148,000" "2,626,000" "1,977,000" "2,920,000" "2,842,000" "915,000" "2,500,000" "4,650,000" "6,650,000" "3,030,000" "2,152,000" "3,972,000" "602,000" "1,311,000" "181,000" "535,000" "5,125,000" "735,000" "15,192,000" "4,109,000" "608,000" "8,275,000" "2,219,000" "1,582,000" "10,503,000" "802,000" "2,178,000" "651,000" "3,352,000" "8,314,000" "724,000" "375,000" "3,504,000" "2,448,000" "1,957,000" "3,469,000" "293,000" "805,000"  
"3,053,000" "205,000" "894,000" "1,780,000" "12,251,000" "1,431,000" "2,168,000" "351,000" "3,310,000" "3,558,000" "510,000" "596,000" "9,065,000" "4,182,000" "2,629,000" "1,994,000" "2,903,000" "2,866,000" "913,000" "2,567,000" "4,806,000" "6,822,000" "3,050,000" "2,105,000" "4,020,000" "616,000" "1,318,000" "195,000" "547,000" "5,229,000" "756,000" "15,527,000" "4,120,000" "609,000" "8,591,000" "2,182,000" "1,601,000" "10,662,000" "815,000" "2,181,000" "648,000" "3,319,000" "8,336,000" "739,000" "379,000" "3,557,000" "2,466,000" "1,929,000" "3,506,000" "290,000" "810,000"  
"3,014,000" "215,000" "933,000" "1,734,000" "12,746,000" "1,493,000" "2,249,000" "368,000" "3,505,000" "3,602,000" "505,000" "600,000" "9,252,000" "4,264,000" "2,626,000" "2,042,000" "2,902,000" "2,883,000" "927,000" "2,685,000" "4,910,000" "7,066,000" "3,113,000" "2,064,000" "4,066,000" "624,000" "1,340,000" "213,000" "554,000" "5,360,000" "763,000" "15,814,000" "4,131,000" "611,000" "8,873,000" "2,209,000" "1,626,000" "10,817,000" "816,000" "2,176,000" "655,000" "3,359,000" "8,382,000" "750,000" "377,000" "3,555,000" "2,516,000" "1,905,000" "3,608,000" "293,000" "791,000"  
"3,050,000" "222,000" "987,000" "1,725,000" "13,133,000" "1,546,000" "2,300,000" "389,000" "3,747,000" "3,636,000" "539,000" "618,000" "9,435,000" "4,363,000" "2,679,000" "2,093,000" "2,910,000" "2,946,000" "934,000" "2,742,000" "4,882,000" "7,285,000" "3,172,000" "2,060,000" "4,134,000" "636,000" "1,374,000" "237,000" "557,000" "5,502,000" "785,000" "15,966,000" "4,242,000" "615,000" "9,017,000" "2,250,000" "1,659,000" "10,939,000" "823,000" "2,200,000" "663,000" "3,415,000" "8,660,000" "783,000" "375,000" "3,588,000" "2,604,000" "1,880,000" "3,679,000" "307,000" "785,000"  
"3,071,000" "224,000" "1,053,000" "1,704,000" "13,713,000" "1,625,000" "2,316,000" "408,000" "4,047,000" "3,701,000" "559,000" "628,000" "9,530,000" "4,458,000" "2,703,000" "2,119,000" "2,898,000" "3,032,000" "938,000" "2,811,000" "4,891,000" "7,467,000" "3,240,000" "2,086,000" "4,163,000" "656,000" "1,397,000" "250,000" "566,000" "5,615,000" "806,000" "16,112,000" "4,309,000" "613,000" "9,207,000" "2,273,000" "1,698,000" "10,972,000" "840,000" "2,229,000" "670,000" "3,415,000" "8,830,000" "809,000" "377,000" "3,722,000" "2,668,000" "1,857,000" "3,742,000" "312,000" "759,000"  
"3,109,000" "231,000" "1,125,000" "1,733,000" "14,264,000" "1,664,000" "2,359,000" "426,000" "4,372,000" "3,766,000" "584,000" "642,000" "9,668,000" "4,529,000" "2,716,000" "2,128,000" "2,928,000" "3,115,000" "943,000" "2,873,000" "4,929,000" "7,569,000" "3,274,000" "2,088,000" "4,189,000" "667,000" "1,394,000" "260,000" "572,000" "5,737,000" "847,000" "16,374,000" "4,368,000" "612,000" "9,410,000" "2,282,000" "1,712,000" "10,954,000" "851,000" "2,274,000" "666,000" "3,434,000" "9,070,000" "826,000" "376,000" "3,844,000" "2,724,000" "1,843,000" "3,791,000" "314,000" "763,000"  
"3,163,000" "224,000" "1,193,000" "1,726,000" "14,880,000" "1,667,000" "2,446,000" "433,000" "4,630,000" "3,804,000" "605,000" "646,000" "9,886,000" "4,583,000" "2,708,000" "2,142,000" "2,961,000" "3,155,000" "944,000" "2,982,000" "5,010,000" "7,667,000" "3,313,000" "2,086,000" "4,186,000" "666,000" "1,383,000" "269,000" "581,000" "5,890,000" "886,000" "16,601,000" "4,376,000" "606,000" "9,599,000" "2,267,000" "1,718,000" "11,058,000" "858,000" "2,304,000" "656,000" "3,471,000" "9,252,000" "845,000" "380,000" "3,914,000" "2,773,000" "1,845,000" "3,843,000" "315,000" "757,000"  
"3,204,000" "224,000" "1,261,000" "1,756,000" "15,467,000" "1,710,000" "2,523,000" "441,000" "4,808,000" "3,868,000" "622,000" "657,000" "9,986,000" "4,613,000" "2,729,000" "2,160,000" "2,999,000" "3,208,000" "957,000" "3,066,000" "5,117,000" "7,767,000" "3,366,000" "2,138,000" "4,258,000" "669,000" "1,397,000" "279,000" "596,000" "6,015,000" "919,000" "16,685,000" "4,458,000" "618,000" "9,671,000" "2,289,000" "1,746,000" "11,234,000" "857,000" "2,348,000" "667,000" "3,522,000" "9,405,000" "870,000" "387,000" "3,951,000" "2,821,000" "1,855,000" "3,891,000" "320,000" "761,000"  
